,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACTUAL FLOW,,,,,,,,,,,,,,,,,,,,,,,
,,Lane Groups,Motorcycle,,Passenger Car,,Goods Utility and Small Bus,,Large Bus,,Rigid 2 Axles,,Rigid 3+ Axles,,Semi-trailer 3/4 Axles,,Semi-trailer 5+ Axles,,Tailer 4 Axles,,Trailer 5+ Axles,,,,,
,,,0.5,,1.0,,1.5,,2.0,,2.0,,2.5,,2.5,,2.5,,2.5,,2.5,,,,,
,,,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Raw (N),PCU = N*PCEF,Actual Flow,Actual PCU/hr,"""+10%""","""-10%"""
,NOON,Lane A - Through,8,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,24,26.4,21.6
,,Lane A - Left,19,9.5,5,5,1,1.5,,0,,0,,0,,0,,0,,0,,0,16,96,105.6,86.4
,,Lane A - Right,22,11,3,3,2,3,,0,,0,,0,,0,,0,,0,,0,17,102,112.2,91.8
,,Lane B - Right,18,9,7,7,0,0,,0,,0,,0,,0,,0,,0,,0,16,96,105.6,86.4
,,Lane B - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane B - Through,36,18,10,10,,0,,0,20,40,,0,,0,,0,,0,,0,68,408,448.8,367.2
,,Lane C - Through,53,26.5,41,41,12,18,1,2,2,4,,0,,0,,0,,0,,0,91.5,549,603.9,494.1
,,Lane C - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane C - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane D - Through,27,13.5,43,43,2,3,2,4,5,10,3,7.5,,0,,0,1,2.5,,0,83.5,501,551.1,450.9
,,Lane D - Left,2,1,3,3,1,1.5,,0,,0,,0,,0,,0,,0,,0,5.5,33,36.3,29.7
,,Lane D - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane E - Through,10,5,4,4,,0,,0,,0,,0,,0,,0,,0,,0,9,39,42.9,35.1
,,Lane E - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane E - Right,6,3,1,1,,0,,0,,0,,0,,0,,0,,0,,0,4,72,79.2,64.8
,,Lane F - Through,17,8.5,4,4,,0,,0,,0,,0,,0,,0,,0,,0,12.5,49,53.9,44.1
,,Lane F - Left,13,6.5,5,5,2,3,1,2,,0,,0,,0,,0,,0,,0,16.5,77,84.7,69.3
,,Lane F - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane G - Through,58,29,12,12,8,12,2,4,2,4,,0,,0,,0,,0,,0,61,366,402.6,329.4
,,Lane G - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane G - Right,15,7.5,5,5,,0,,0,,0,,0,,0,,0,,0,,0,12.5,75,82.5,67.5
,,Lane H - Through,40,20,26,26,9,13.5,1,2,3,6,2,5,,0,,0,,0,,0,72.5,435,478.5,391.5
,,Lane H - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane H - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane I - Through,8,4,27,27,,0,,0,3,6,1,2.5,0,0,,0,1,2.5,,0,42,252,277.2,226.8
,,Lane I - Left,13,6.5,18,18,,0,,0,,0,,0,,0,,0,,0,,0,24.5,147,161.7,132.3
,,Lane I - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,AFTERNOON,Lane A - Through,14,7,2,2,1,1.5,,0,,0,,0,,0,,0,,0,,0,10.5,63,69.3,56.7
,,Lane A - Left,10,5,3,3,1,1.5,,0,2,4,,0,,0,,0,,0,,0,13.5,81,89.1,72.9
,,Lane A - Right,12,6,4,4,3,4.5,,0,,0,,0,,0,,0,,0,,0,14.5,87,95.7,78.3
,,Lane B - Through,21,10.5,9,9,,0,,0,,0,,0,,0,,0,,0,,0,19.5,117,128.7,105.3
,,Lane B - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane B - Right,41,20.5,16,16,1,1.5,,0,2,4,,0,,0,,0,,0,,0,42,252,277.2,226.8
,,Lane C - Through,55,27.5,47,47,7,10.5,1,2,3,6,,0,,0,,0,,0,,0,93,558,613.8,502.2
,,Lane C - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane C - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane D - Through,22,11,64,64,3,4.5,,0,5,10,,0,,0,,0,,0,,0,89.5,537,590.7,483.3
,,Lane D - Left,2,1,1,1,,0,,0,1,2,,0,,0,,0,,0,,0,4,24,26.4,21.6
,,Lane D - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane E - Through,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,24,26.4,21.6
,,Lane E - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane E - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,40,44,36
,,Lane F - Through,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,69,75.9,62.1
,,Lane F - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,95,104.5,85.5
,,Lane F - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane G - Through,60,30,13,13,9,13.5,1,2,2,4,,0,,0,,0,,0,,0,62.5,375,412.5,337.5
,,Lane G - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane G - Right,17,8.5,4,4,,0,,0,,0,,0,,0,,0,,0,,0,12.5,75,82.5,67.5
,,Lane H - Through,40,20,42,42,5,7.5,1,2,3,6,1,2.5,,0,,0,,0,,0,80,480,528,432
,,Lane H - Left,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane H - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
,,Lane I - Through,17,8.5,30,30,1,1.5,,0,4,8,,0,,0,1,2.5,,0,,0,50.5,303,333.3,272.7
,,Lane I - Left,12,6,18,18,,0,,0,,0,,0,,0,,0,,0,,0,24,144,158.4,129.6
,,Lane I - Right,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0
